Industry,Employees,Cloud_Usage,Firewall_Installed,EDR_Installed,SIEM_Installed,MFA_Enabled,DLP_Enabled,Compliance_Requirement,Main_Threat_Concern,Security_Budget,Risk_Level,Recommended_Solution
E-Commerce,1000,Low,Yes,No,No,Yes,No,IEC62443,Privilege Escalation,High,High,IAM
Hospitality,100,Medium,Yes,Yes,No,Yes,Yes,SOX,Credential Theft,High,High,Email Security Gateway
Real Estate,2500,High,No,Yes,Yes,No,No,FedRAMP,OT Attack,Enterprise,High,IAM
Transportation,2500,Low,Yes,Yes,Yes,No,No,NERC-CIP,API Attack,Low,Critical,SIEM Solution
Insurance,5000,None,No,Yes,No,Yes,No,PCI-DSS,Zero-Day Exploit,Medium,Medium,SIEM Solution
Media,100,Very High,Yes,Yes,No,No,No,SOX,Credential Theft,High,Low,Ransomware Protection
Oil & Gas,100,High,No,No,No,Yes,No,CCPA,Data Breach,Enterprise,Medium,Threat Intelligence Platform
Finance,50,Low,Yes,No,Yes,Yes,No,SOX,Phishing,Medium,High,DLP Solution
Logistics,1000,High,Yes,No,No,Yes,No,HIPAA,Web Application Attack,Very Low,Critical,XDR Platform
Oil & Gas,10000,Very High,Yes,No,No,No,Yes,NERC-CIP,Insider Threat,Medium,Medium,Cloud Security Platform
Insurance,500,Medium,Yes,Yes,No,No,Yes,CCPA,APT,Medium,Critical,Attack Surface Management
Retail,1000,Low,No,No,No,Yes,Yes,NERC-CIP,Shadow IT,Medium,Critical,SIEM Solution
Insurance,1000,Low,No,Yes,No,No,No,FedRAMP,Privilege Escalation,Very Low,Low,XDR Platform
Healthcare,250,Medium,Yes,No,No,No,Yes,FedRAMP,Data Breach,Very Low,Low,CASB
Oil & Gas,5000,None,Yes,Yes,No,No,Yes,ISO27001,IoT Attack,Low,High,NAC
Oil & Gas,1000,Medium,No,Yes,Yes,Yes,Yes,HITRUST,API Attack,Very Low,Medium,CASB
Transportation,500,Very High,No,No,Yes,No,Yes,CMMC,Ransomware,Low,Critical,Threat Intelligence Platform
Oil & Gas,2500,Medium,No,No,Yes,Yes,Yes,NIST,Cryptojacking,Low,Critical,Vulnerability Management
Pharmaceutical,500,Low,No,No,Yes,No,No,CMMC,Malware,Low,High,SOC-as-a-Service
Oil & Gas,500,None,No,No,No,No,Yes,FISMA,IoT Attack,Enterprise,Medium,DLP Solution
Telecommunications,1000,Very High,No,Yes,No,Yes,No,IEC62443,DDoS,Low,High,XDR Platform
Logistics,2500,Very High,Yes,No,Yes,Yes,No,IEC62443,Nation-State Attack,Low,Critical,SIEM Solution
Technology,5000,None,No,Yes,No,Yes,No,COBIT,Insider Threat,Low,Low,CASB
Government,5000,Low,No,Yes,Yes,No,Yes,FISMA,Data Breach,High,Medium,WAF
Defense,250,Very High,No,No,Yes,Yes,Yes,CMMC,Insider Threat,Enterprise,Medium,IAM
Transportation,10000,High,Yes,No,Yes,Yes,No,SOC2,Nation-State Attack,Low,Critical,SIEM Solution
Manufacturing,5000,Medium,Yes,Yes,Yes,No,Yes,NIST,Credential Theft,Low,Low,Ransomware Protection
E-Commerce,50,Medium,Yes,No,Yes,Yes,Yes,CCPA,API Attack,Medium,High,Ransomware Protection
Logistics,2500,Low,No,No,No,No,Yes,ISO27001,Data Breach,Low,Critical,EDR Platform
Education,250,High,Yes,No,Yes,No,No,NIST,API Attack,Very Low,Critical,Data Encryption Platform
Pharmaceutical,2500,None,No,Yes,Yes,Yes,No,HITRUST,Data Breach,High,Low,CASB
Real Estate,2500,Medium,Yes,Yes,Yes,No,No,ISO27001,Zero-Day Exploit,Low,Critical,WAF
Oil & Gas,1000,Very High,No,Yes,Yes,No,No,NIST,Credential Theft,Medium,Low,Data Encryption Platform
Logistics,5000,Very High,Yes,Yes,Yes,No,Yes,ISO27001,Nation-State Attack,Medium,High,NAC
Telecommunications,500,Medium,No,No,No,Yes,Yes,NIST,Credential Theft,Medium,Medium,SIEM Solution
Education,250,Medium,Yes,Yes,No,No,Yes,HITRUST,APT,Medium,Critical,PAM
Pharmaceutical,100,Very High,Yes,Yes,Yes,No,Yes,CCPA,Cryptojacking,Medium,Medium,Vulnerability Management
Manufacturing,1000,Medium,Yes,No,Yes,No,No,SOX,Cryptojacking,High,Critical,Attack Surface Management
E-Commerce,5000,Low,Yes,Yes,No,Yes,No,ISO27001,DDoS,Low,High,SOC-as-a-Service
Telecommunications,500,None,Yes,No,No,Yes,No,FISMA,Data Breach,Very Low,Low,SIEM Solution
Healthcare,250,High,Yes,Yes,No,No,No,CCPA,Phishing,Very Low,Low,Attack Surface Management
Real Estate,100,Low,No,Yes,No,No,No,SOC2,Shadow IT,Low,High,Vulnerability Management
Insurance,10000,None,No,No,Yes,Yes,Yes,PCI-DSS,API Attack,Enterprise,Low,Security Awareness Training
Telecommunications,250,Low,No,Yes,No,Yes,No,CCPA,Insider Threat,Enterprise,Critical,Threat Intelligence Platform
Logistics,50,None,Yes,No,No,No,No,IEC62443,Shadow IT,Low,Critical,Vulnerability Management
Real Estate,2500,High,No,No,No,Yes,Yes,SOX,Credential Theft,Medium,Critical,Threat Intelligence Platform
Energy,100,High,No,Yes,Yes,Yes,No,FedRAMP,Cloud Security,Very Low,Critical,Cloud Security Platform
E-Commerce,5000,High,Yes,No,No,Yes,No,FedRAMP,APT,Very Low,High,XDR Platform
Pharmaceutical,100,Medium,Yes,No,No,No,No,CCPA,DDoS,Medium,Medium,SIEM Solution
Insurance,2500,High,No,Yes,No,Yes,Yes,FedRAMP,Nation-State Attack,Very Low,Low,PAM
Telecommunications,2500,High,No,No,Yes,No,Yes,SOX,Privilege Escalation,Low,High,XDR Platform
Finance,2500,Very High,Yes,Yes,Yes,Yes,Yes,HIPAA,IoT Attack,High,Medium,Security Awareness Training
Healthcare,2500,Low,Yes,Yes,Yes,No,Yes,NIST,Credential Theft,High,Medium,ZTNA Solution
Banking,2500,High,Yes,Yes,No,No,No,NERC-CIP,OT Attack,Very Low,Low,Ransomware Protection
E-Commerce,2500,Very High,No,No,Yes,No,Yes,ISO27001,Insider Threat,Low,Medium,WAF
Logistics,500,Medium,No,No,Yes,Yes,No,CCPA,Zero-Day Exploit,Enterprise,Medium,MDR Service
Energy,250,Low,No,Yes,No,Yes,No,FISMA,Cryptojacking,Enterprise,Medium,IAM
Manufacturing,2500,None,Yes,No,No,Yes,Yes,FISMA,Cryptojacking,Very Low,Medium,NAC
Hospitality,1000,None,Yes,Yes,No,No,No,FedRAMP,Shadow IT,Enterprise,Medium,Security Awareness Training
Hospitality,10000,Medium,No,Yes,No,Yes,No,COBIT,Web Application Attack,Enterprise,Low,Cloud Security Platform
Defense,100,High,Yes,No,No,Yes,No,IEC62443,DDoS,Enterprise,Low,EDR Platform
Media,100,Low,Yes,Yes,No,No,No,NERC-CIP,DDoS,Enterprise,Critical,IAM
Education,10000,Low,No,No,No,Yes,No,NERC-CIP,OT Attack,Medium,Medium,IAM
Healthcare,1000,High,No,No,Yes,Yes,No,HIPAA,Web Application Attack,Enterprise,High,MDR Service
Manufacturing,10000,High,No,Yes,Yes,Yes,Yes,COBIT,IoT Attack,High,High,ZTNA Solution
Hospitality,100,Very High,Yes,No,Yes,No,Yes,CCPA,Insider Threat,High,High,SOC-as-a-Service
Oil & Gas,50,High,No,No,Yes,No,No,GDPR,Shadow IT,Medium,High,SOC-as-a-Service
E-Commerce,100,High,Yes,No,No,Yes,No,PCI-DSS,IoT Attack,Medium,Medium,CASB
Education,100,Very High,Yes,Yes,Yes,No,Yes,GDPR,Malware,Medium,Medium,Cloud Security Platform
Energy,50,High,No,No,No,Yes,Yes,NIST,API Attack,Medium,Critical,EDR Platform
Banking,5000,Low,Yes,No,No,Yes,No,SOC2,Malware,Medium,Medium,DLP Solution
Government,50,Medium,No,No,No,Yes,No,IEC62443,Data Breach,Very Low,Low,SIEM Solution
Energy,250,None,Yes,No,No,No,No,HIPAA,Malware,Very Low,High,DLP Solution
Pharmaceutical,10000,Medium,Yes,No,Yes,No,Yes,HIPAA,Phishing,Medium,Low,Cloud Security Platform
Education,50,Very High,Yes,Yes,No,Yes,No,FedRAMP,Cloud Security,Very Low,Low,Vulnerability Management
Insurance,10000,High,No,No,No,No,Yes,NIST,Data Breach,Very Low,Critical,Security Awareness Training
Healthcare,500,None,No,No,Yes,Yes,Yes,NERC-CIP,Business Email Compromise,Very Low,Medium,Attack Surface Management
Insurance,10000,High,Yes,No,No,Yes,Yes,GDPR,Credential Theft,Very Low,Critical,Cloud Security Platform
Healthcare,2500,High,No,Yes,Yes,Yes,Yes,COBIT,Data Breach,Low,High,NAC
Hospitality,250,Low,No,No,No,No,Yes,NIST,APT,Medium,High,Threat Intelligence Platform
Telecommunications,500,Very High,No,No,No,Yes,No,COBIT,API Attack,High,Low,WAF
Energy,2500,High,Yes,Yes,No,No,Yes,SOC2,Supply Chain Attack,High,High,Ransomware Protection
E-Commerce,100,None,Yes,Yes,No,Yes,Yes,IEC62443,IoT Attack,Very Low,Critical,XDR Platform
Education,10000,None,No,No,No,Yes,No,CMMC,Malware,Enterprise,Medium,SIEM Solution
Energy,250,High,Yes,No,No,No,Yes,SOX,Insider Threat,High,Low,PAM
Hospitality,2500,None,Yes,Yes,No,No,Yes,CCPA,APT,High,Medium,Threat Intelligence Platform
Pharmaceutical,50,Low,Yes,Yes,Yes,No,No,CMMC,Supply Chain Attack,High,Medium,Threat Intelligence Platform
Hospitality,2500,Very High,No,Yes,Yes,Yes,No,CCPA,Malware,Enterprise,Medium,SOC-as-a-Service
Technology,5000,Medium,Yes,Yes,Yes,Yes,No,FedRAMP,Ransomware,Very Low,Low,Data Encryption Platform
Defense,5000,Low,Yes,Yes,No,No,No,SOC2,OT Attack,High,High,CASB
Manufacturing,2500,None,No,No,No,No,No,FedRAMP,Malware,Low,High,EDR Platform
Finance,100,High,Yes,Yes,Yes,No,Yes,COBIT,Privilege Escalation,Medium,High,SIEM Solution
Hospitality,10000,None,Yes,No,Yes,No,Yes,HIPAA,Supply Chain Attack,Medium,Critical,WAF
Insurance,2500,High,Yes,No,No,Yes,Yes,HITRUST,Web Application Attack,Low,Low,Vulnerability Management
Government,10000,High,No,No,No,No,Yes,HIPAA,Supply Chain Attack,Low,High,Cloud Security Platform
Hospitality,1000,Low,Yes,No,Yes,Yes,No,GDPR,Cloud Security,Enterprise,High,XDR Platform
E-Commerce,100,Very High,Yes,Yes,No,Yes,Yes,CMMC,Credential Theft,High,High,SIEM Solution
Banking,250,Medium,Yes,No,Yes,Yes,No,NERC-CIP,Nation-State Attack,Very Low,Low,Data Encryption Platform
Government,5000,None,Yes,Yes,Yes,Yes,Yes,IEC62443,Nation-State Attack,Low,Low,Email Security Gateway
Media,2500,None,No,Yes,Yes,Yes,No,COBIT,Nation-State Attack,Low,High,Cloud Security Platform
Hospitality,100,Medium,No,No,Yes,Yes,Yes,GDPR,DDoS,High,Medium,PAM
Defense,10000,None,No,No,Yes,No,No,FedRAMP,Cloud Security,Medium,Medium,Threat Intelligence Platform
Oil & Gas,250,Very High,No,Yes,No,Yes,No,CCPA,IoT Attack,High,Medium,NAC
Telecommunications,100,Very High,No,Yes,Yes,No,No,HITRUST,IoT Attack,High,Critical,NAC
E-Commerce,50,None,Yes,No,No,No,Yes,PCI-DSS,Credential Theft,High,Critical,CASB
Pharmaceutical,500,Low,Yes,Yes,No,No,Yes,SOC2,Insider Threat,High,High,SIEM Solution
Transportation,50,Medium,Yes,No,No,No,No,HIPAA,APT,Very Low,High,Threat Intelligence Platform
Government,50,High,Yes,Yes,Yes,Yes,No,CMMC,DDoS,High,Medium,Threat Intelligence Platform
Hospitality,10000,Medium,No,No,No,Yes,No,SOC2,DDoS,Low,Critical,Security Awareness Training
Banking,5000,Very High,Yes,No,No,Yes,No,IEC62443,Cryptojacking,Low,High,Email Security Gateway
Oil & Gas,1000,Low,No,No,No,Yes,Yes,NIST,Supply Chain Attack,Enterprise,Critical,Attack Surface Management
Logistics,500,Very High,No,No,Yes,No,Yes,SOX,Phishing,Medium,Critical,CASB
Healthcare,100,Low,Yes,Yes,Yes,No,Yes,SOC2,Insider Threat,Medium,Critical,CASB
Pharmaceutical,10000,High,Yes,No,No,No,No,NERC-CIP,Malware,High,Low,WAF
Energy,2500,Medium,No,Yes,Yes,No,No,FISMA,APT,Low,Low,Email Security Gateway
E-Commerce,250,Low,No,Yes,No,Yes,Yes,FedRAMP,Web Application Attack,Very Low,High,SIEM Solution
Real Estate,1000,None,No,Yes,No,No,Yes,COBIT,APT,Very Low,Low,IAM
Insurance,100,Very High,No,Yes,No,Yes,Yes,CCPA,Cryptojacking,Very Low,High,SIEM Solution
Banking,100,Medium,Yes,No,Yes,Yes,Yes,FISMA,Data Breach,Very Low,Low,DLP Solution
Energy,1000,Medium,Yes,No,Yes,No,Yes,IEC62443,Ransomware,Medium,Low,SIEM Solution
Banking,10000,Very High,No,No,Yes,Yes,No,HIPAA,Business Email Compromise,High,Medium,SIEM Solution
Pharmaceutical,5000,Medium,No,Yes,Yes,Yes,No,COBIT,Zero-Day Exploit,Medium,Low,PAM
Healthcare,10000,Very High,Yes,No,No,Yes,No,SOC2,API Attack,High,High,WAF
Media,250,Very High,No,Yes,No,Yes,Yes,SOX,Ransomware,Medium,Medium,Threat Intelligence Platform
Finance,250,Low,Yes,Yes,Yes,Yes,No,NIST,Supply Chain Attack,Medium,Critical,Threat Intelligence Platform
Healthcare,250,High,Yes,No,Yes,Yes,Yes,GDPR,Phishing,Medium,High,Security Awareness Training
Technology,50,Very High,Yes,Yes,Yes,No,No,FISMA,Data Breach,Very Low,Critical,PAM
Real Estate,2500,Very High,No,No,Yes,Yes,No,HITRUST,Phishing,High,Critical,CASB
Government,250,Medium,No,No,No,Yes,Yes,SOC2,API Attack,High,High,XDR Platform
Education,10000,High,Yes,No,Yes,Yes,No,HITRUST,Privilege Escalation,Medium,High,IAM
E-Commerce,500,Medium,No,No,No,Yes,No,SOC2,IoT Attack,Low,Low,XDR Platform
Education,250,None,Yes,No,No,No,Yes,SOX,Shadow IT,Very Low,Critical,Cloud Security Platform
Banking,2500,High,No,No,No,No,Yes,IEC62443,API Attack,Medium,Medium,ZTNA Solution
Retail,1000,Very High,No,Yes,Yes,No,No,COBIT,Privilege Escalation,Medium,Medium,Attack Surface Management
Government,250,Medium,Yes,No,No,No,No,PCI-DSS,API Attack,Medium,High,IAM
Hospitality,500,None,No,No,No,Yes,Yes,COBIT,Data Breach,High,Critical,Threat Intelligence Platform
E-Commerce,100,None,Yes,Yes,No,No,No,NERC-CIP,Ransomware,Low,Medium,CASB
Telecommunications,2500,Very High,No,No,No,No,Yes,CMMC,Ransomware,Medium,Low,MDR Service
Energy,2500,Very High,No,No,No,No,Yes,HITRUST,Phishing,Medium,High,XDR Platform
Pharmaceutical,50,Medium,Yes,Yes,Yes,Yes,No,COBIT,Credential Theft,Medium,Low,Attack Surface Management
Real Estate,2500,High,Yes,Yes,No,Yes,Yes,FISMA,Cloud Security,Low,Medium,CASB
Defense,250,Very High,Yes,Yes,Yes,No,No,SOC2,Shadow IT,Low,Critical,Email Security Gateway
Healthcare,50,Low,Yes,Yes,No,Yes,No,HITRUST,Insider Threat,Enterprise,High,MDR Service
Insurance,250,High,Yes,No,No,No,No,GDPR,Ransomware,Medium,Low,XDR Platform
Energy,250,Very High,Yes,Yes,No,Yes,Yes,NERC-CIP,APT,Medium,Critical,XDR Platform
E-Commerce,5000,Low,No,No,Yes,No,No,NIST,Insider Threat,Medium,Low,Vulnerability Management
Insurance,500,Low,No,No,Yes,Yes,Yes,HITRUST,Credential Theft,Medium,High,Security Awareness Training
Healthcare,1000,Very High,Yes,No,Yes,Yes,Yes,SOX,IoT Attack,High,High,SOC-as-a-Service
Real Estate,100,Medium,No,No,No,Yes,Yes,CCPA,Nation-State Attack,Very Low,Low,NAC
Transportation,50,None,Yes,Yes,No,No,No,SOC2,Supply Chain Attack,Medium,Critical,PAM
Finance,50,Medium,Yes,Yes,Yes,Yes,No,SOX,Data Breach,Enterprise,Critical,ZTNA Solution
Energy,1000,Low,No,Yes,No,Yes,Yes,HITRUST,Cryptojacking,Medium,Medium,SOC-as-a-Service
Telecommunications,10000,None,Yes,Yes,Yes,Yes,No,CCPA,Data Breach,Enterprise,Low,PAM
Insurance,2500,Medium,Yes,Yes,Yes,Yes,Yes,CMMC,Ransomware,Medium,Critical,IAM
Media,500,High,No,Yes,No,No,Yes,FISMA,Cryptojacking,Low,Critical,XDR Platform
Retail,5000,Medium,No,Yes,Yes,No,Yes,CCPA,Privilege Escalation,High,Critical,EDR Platform
Technology,50,None,No,No,Yes,No,No,CCPA,Shadow IT,Enterprise,Low,WAF
Pharmaceutical,1000,None,Yes,Yes,No,No,Yes,ISO27001,OT Attack,High,Critical,Security Awareness Training
Hospitality,5000,Medium,No,No,Yes,Yes,Yes,NIST,Data Breach,Medium,High,WAF
Real Estate,2500,High,Yes,No,No,No,No,HIPAA,Nation-State Attack,Medium,Low,IAM
Government,500,Low,Yes,Yes,Yes,No,Yes,HIPAA,Insider Threat,Very Low,High,WAF
Real Estate,50,None,Yes,No,No,No,Yes,CMMC,OT Attack,Enterprise,Low,SIEM Solution
Telecommunications,10000,None,Yes,Yes,Yes,Yes,Yes,ISO27001,Privilege Escalation,Low,Low,WAF
Hospitality,50,Very High,Yes,Yes,No,No,Yes,ISO27001,Privilege Escalation,High,Critical,Ransomware Protection
Energy,2500,High,No,No,No,Yes,No,COBIT,Cryptojacking,Very Low,Critical,WAF
Transportation,100,High,No,No,No,No,Yes,ISO27001,Phishing,Enterprise,Low,CASB
Government,2500,Very High,No,Yes,Yes,No,Yes,CMMC,API Attack,High,High,MDR Service
Technology,2500,Medium,No,No,No,No,Yes,CCPA,Data Breach,Low,Medium,Attack Surface Management
Transportation,250,None,No,Yes,Yes,No,No,IEC62443,Shadow IT,Enterprise,Medium,Email Security Gateway
Media,50,Medium,No,No,Yes,No,Yes,HIPAA,Nation-State Attack,High,Low,IAM
Government,50,Very High,No,No,Yes,Yes,Yes,COBIT,Shadow IT,Medium,Critical,WAF
Real Estate,500,Medium,Yes,Yes,Yes,Yes,Yes,HITRUST,Web Application Attack,Medium,Medium,Threat Intelligence Platform
Retail,500,High,No,No,Yes,No,No,SOC2,Ransomware,Very Low,High,ZTNA Solution
Education,2500,High,No,No,Yes,No,Yes,NIST,Shadow IT,Medium,Medium,IAM
Logistics,500,Very High,No,No,Yes,No,Yes,CMMC,Nation-State Attack,Enterprise,Low,Attack Surface Management
Education,250,None,Yes,Yes,Yes,No,No,PCI-DSS,Web Application Attack,Very Low,High,DLP Solution
E-Commerce,1000,High,No,Yes,No,Yes,No,SOX,Cryptojacking,Very Low,Low,SIEM Solution
Oil & Gas,50,Very High,No,Yes,No,Yes,Yes,SOX,Supply Chain Attack,Medium,High,SIEM Solution
E-Commerce,10000,Medium,Yes,No,Yes,No,No,CCPA,Credential Theft,Very Low,Critical,DLP Solution
Defense,1000,High,No,No,No,Yes,Yes,ISO27001,Cryptojacking,Enterprise,Low,Cloud Security Platform
Oil & Gas,250,Low,No,Yes,Yes,Yes,No,CMMC,Supply Chain Attack,High,Low,Security Awareness Training
Logistics,100,High,Yes,No,No,Yes,No,ISO27001,Cryptojacking,Very Low,Low,SOC-as-a-Service
Government,250,Very High,No,Yes,Yes,No,Yes,CCPA,IoT Attack,Medium,Low,SOC-as-a-Service
Retail,2500,High,Yes,Yes,No,Yes,No,FedRAMP,Privilege Escalation,High,Low,Attack Surface Management
Healthcare,500,Medium,Yes,Yes,No,No,No,FedRAMP,APT,High,Critical,PAM
Manufacturing,2500,Low,Yes,No,No,No,Yes,SOC2,Insider Threat,Enterprise,Critical,Ransomware Protection
Media,500,High,Yes,No,No,Yes,Yes,NIST,Phishing,Enterprise,Critical,Cloud Security Platform
Oil & Gas,10000,None,Yes,No,No,Yes,No,CMMC,Credential Theft,Very Low,Critical,CASB
Technology,100,None,No,No,No,Yes,No,GDPR,API Attack,Very Low,Medium,MDR Service
E-Commerce,100,High,Yes,No,No,No,Yes,GDPR,Shadow IT,Very Low,Medium,SOC-as-a-Service
Logistics,2500,Medium,Yes,No,Yes,No,No,NERC-CIP,Cryptojacking,Enterprise,High,Ransomware Protection
Energy,500,Medium,Yes,Yes,Yes,Yes,Yes,CCPA,Malware,Low,Medium,Threat Intelligence Platform
Government,500,High,No,No,Yes,Yes,No,CMMC,Phishing,Medium,High,Ransomware Protection
Oil & Gas,250,High,Yes,Yes,No,No,No,IEC62443,API Attack,High,High,ZTNA Solution
Hospitality,10000,None,Yes,No,No,No,No,FedRAMP,OT Attack,Low,High,EDR Platform
Hospitality,50,High,Yes,Yes,Yes,Yes,No,SOX,OT Attack,Very Low,Medium,SOC-as-a-Service
Insurance,5000,Medium,Yes,Yes,Yes,No,Yes,GDPR,Cloud Security,Enterprise,Low,PAM
E-Commerce,500,None,Yes,Yes,Yes,No,Yes,HITRUST,Privilege Escalation,Medium,High,DLP Solution
Healthcare,10000,None,Yes,No,No,No,No,SOX,Cryptojacking,High,Medium,IAM
Media,500,Very High,Yes,No,Yes,No,No,NERC-CIP,Privilege Escalation,Low,Critical,IAM
Telecommunications,5000,None,Yes,Yes,Yes,Yes,No,SOX,Zero-Day Exploit,Very Low,Critical,Attack Surface Management
Insurance,500,Low,Yes,Yes,Yes,Yes,Yes,FISMA,Ransomware,Very Low,Critical,Vulnerability Management
Defense,2500,Medium,Yes,No,Yes,No,No,HIPAA,Phishing,Very Low,Medium,Attack Surface Management
Manufacturing,250,Low,No,Yes,No,Yes,No,NIST,DDoS,Medium,Critical,NAC
Retail,50,Low,No,Yes,Yes,Yes,Yes,ISO27001,Insider Threat,Medium,High,ZTNA Solution
Technology,500,Very High,Yes,No,No,No,Yes,GDPR,APT,Medium,Critical,Data Encryption Platform
Pharmaceutical,500,None,Yes,Yes,Yes,Yes,Yes,ISO27001,IoT Attack,Very Low,Low,MDR Service
Media,100,High,No,No,Yes,No,No,PCI-DSS,APT,Low,Low,EDR Platform
Hospitality,1000,High,No,Yes,No,Yes,No,PCI-DSS,Cloud Security,Low,Low,Cloud Security Platform
Hospitality,500,None,No,Yes,No,No,Yes,HITRUST,DDoS,Low,Low,Ransomware Protection
Banking,5000,Medium,No,Yes,Yes,Yes,No,NERC-CIP,API Attack,High,High,Threat Intelligence Platform
Defense,5000,Very High,Yes,Yes,Yes,No,Yes,ISO27001,Credential Theft,Very Low,High,Attack Surface Management
Oil & Gas,2500,Medium,Yes,No,No,Yes,Yes,SOC2,IoT Attack,Low,Low,Attack Surface Management
Healthcare,50,High,No,Yes,No,Yes,Yes,FISMA,Supply Chain Attack,Very Low,Medium,Security Awareness Training
Finance,5000,High,No,No,No,Yes,Yes,FedRAMP,Cloud Security,Low,High,Attack Surface Management
Energy,50,Medium,Yes,Yes,No,No,Yes,SOC2,Zero-Day Exploit,Low,Critical,EDR Platform
Education,100,Very High,Yes,No,Yes,No,No,FISMA,IoT Attack,Medium,Low,MDR Service
Government,50,Low,Yes,No,Yes,Yes,No,GDPR,Cryptojacking,Low,Critical,CASB
Media,5000,Very High,Yes,No,Yes,No,Yes,SOX,Cloud Security,Very Low,High,SIEM Solution
Insurance,2500,Low,Yes,Yes,Yes,No,Yes,ISO27001,Web Application Attack,Very Low,Low,SIEM Solution
Oil & Gas,2500,Medium,No,No,No,No,Yes,CMMC,Malware,High,Medium,Threat Intelligence Platform
Defense,1000,Very High,No,Yes,No,No,Yes,ISO27001,OT Attack,High,Medium,Ransomware Protection
Telecommunications,500,Medium,No,No,No,Yes,Yes,IEC62443,Insider Threat,High,Low,Vulnerability Management
Energy,100,Very High,Yes,No,Yes,No,No,CMMC,IoT Attack,Very Low,Critical,XDR Platform
Banking,2500,Very High,Yes,No,No,Yes,Yes,HITRUST,IoT Attack,Medium,Medium,Threat Intelligence Platform
Logistics,50,Medium,Yes,Yes,Yes,Yes,No,SOC2,Insider Threat,Medium,Critical,SIEM Solution
Technology,500,Medium,No,Yes,Yes,Yes,No,FISMA,Insider Threat,High,Critical,WAF
Banking,10000,Very High,No,No,No,No,Yes,PCI-DSS,APT,Low,Critical,Security Awareness Training
Retail,250,High,Yes,No,No,Yes,No,CMMC,API Attack,Medium,Critical,Security Awareness Training
Government,100,Medium,Yes,No,Yes,No,Yes,HITRUST,API Attack,Enterprise,High,EDR Platform
Retail,500,Very High,Yes,Yes,Yes,Yes,Yes,GDPR,IoT Attack,Low,Critical,MDR Service
Hospitality,100,Medium,Yes,Yes,Yes,Yes,No,NIST,Shadow IT,Medium,Critical,Threat Intelligence Platform
Government,10000,Very High,No,No,No,Yes,Yes,COBIT,Cloud Security,Very Low,Critical,PAM
Technology,2500,Low,Yes,Yes,No,No,Yes,NIST,API Attack,Low,Low,CASB
Pharmaceutical,10000,Low,Yes,No,No,Yes,No,PCI-DSS,Credential Theft,Enterprise,High,SIEM Solution
Defense,500,Very High,Yes,No,No,No,Yes,NERC-CIP,Nation-State Attack,Very Low,Medium,Ransomware Protection
Logistics,250,Very High,No,No,Yes,Yes,Yes,SOX,Shadow IT,Medium,High,PAM
Healthcare,250,Low,Yes,No,No,No,No,SOC2,Ransomware,High,Low,PAM
Retail,250,Medium,No,No,No,Yes,Yes,HIPAA,Cryptojacking,Very Low,Critical,Attack Surface Management
Telecommunications,50,Medium,No,Yes,No,Yes,Yes,NERC-CIP,Web Application Attack,Very Low,Medium,CASB
Pharmaceutical,100,Low,Yes,No,Yes,Yes,Yes,CCPA,APT,Enterprise,High,MDR Service
Logistics,1000,High,No,Yes,No,No,No,GDPR,APT,Medium,Critical,ZTNA Solution
Defense,2500,None,No,No,No,Yes,Yes,FISMA,Web Application Attack,Low,Low,WAF
Logistics,1000,Low,No,No,Yes,No,Yes,PCI-DSS,DDoS,Low,Medium,IAM
Telecommunications,500,Low,No,Yes,Yes,No,Yes,CMMC,DDoS,Low,Critical,Ransomware Protection
Pharmaceutical,1000,Very High,Yes,No,No,Yes,No,COBIT,Supply Chain Attack,Very Low,Medium,Cloud Security Platform
Oil & Gas,250,Very High,No,No,No,No,Yes,FISMA,Cryptojacking,High,Low,SOC-as-a-Service
Finance,50,Low,Yes,No,No,Yes,No,HIPAA,Malware,High,Low,NAC
Telecommunications,100,Medium,Yes,Yes,No,Yes,No,SOX,Ransomware,High,Critical,XDR Platform
Retail,5000,Very High,Yes,No,Yes,Yes,No,FISMA,DDoS,High,Medium,ZTNA Solution
Retail,250,Very High,No,No,No,Yes,No,SOX,Data Breach,Low,Critical,IAM
Telecommunications,10000,None,Yes,Yes,Yes,No,No,GDPR,Cloud Security,Medium,Critical,Cloud Security Platform
Telecommunications,250,Low,No,No,No,Yes,No,HITRUST,Insider Threat,Low,Critical,Vulnerability Management
Oil & Gas,5000,Very High,Yes,No,Yes,Yes,Yes,FedRAMP,Malware,Medium,Low,Ransomware Protection
Government,500,High,Yes,No,Yes,No,No,HIPAA,Web Application Attack,High,Low,Threat Intelligence Platform
Healthcare,5000,Low,No,Yes,No,No,No,GDPR,Zero-Day Exploit,Medium,Critical,Attack Surface Management
Technology,100,High,No,Yes,Yes,No,Yes,NIST,APT,Enterprise,Medium,DLP Solution
Transportation,10000,Medium,Yes,No,Yes,Yes,Yes,CCPA,APT,Low,Critical,Attack Surface Management
E-Commerce,2500,Low,No,No,No,Yes,Yes,SOX,OT Attack,Medium,Medium,NAC
Manufacturing,5000,Very High,Yes,No,Yes,No,Yes,IEC62443,DDoS,Enterprise,High,EDR Platform
Hospitality,50,High,No,No,Yes,Yes,Yes,SOX,Shadow IT,Enterprise,Medium,Security Awareness Training
Education,10000,High,Yes,No,Yes,Yes,Yes,PCI-DSS,Privilege Escalation,Medium,Medium,EDR Platform
